"Localidade";"Decretos";"Ementa";"Tipo";"Tipo_Documento"
"Brasil";"Medida Provisória nº 985, de 25.6.2020 Publicada no DOU de 26.6.2020";"Abre crédito extraordinário, em favor do Ministério da Defesa, no valor de R$ 300.000.000,00, para o fim que especifica, e dá outras providências.";"Federal";"Medida"
"Brasil";"Lei nº 14.016, de 23.6.2020 Publicada no DOU de 24.6.2020";"Dispõe sobre o combate ao desperdício de alimentos e a doação de excedentes de alimentos para o consumo humano.";"Federal";"Lei"
"Brasil";"Decreto nº 10.404, de 22.6.2020Publicada no DOU de 23.6.2020";"Altera o Decreto nº 10.277, de 16 de março de 2020, que institui o Comitê de Crise para Supervisão e Monitoramento dos Impactos da Covid-19.";"Federal";"Decreto"
"Brasil";"Portaria nº 413, de 15.6.2020Publicada no DOU de 15.6.2020 - Edição extra";"Dispor sobre o calendário de pagamentos e saques do auxílio emergencial instituído pela Lei nº 13.982, de 2 de abril de 2020.";"Federal";"Portaria"
"Brasil";"Medida Provisória nº 979, de 9.6.2020 Publicada no DOU de 10.6.2020";"Dispõe sobre a designação de dirigentes pro tempore para as instituições federais de ensino durante o período da emergência de saúde pública de importância internacional decorrente da pandemia da covid-19, de que trata a Lei nº 13.979, de 6 de fevereiro de 2020.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 978, de 4.6.2020 Publicada no DOU de 4.6.2020 - Edição extra";"Abre crédito extraordinário, em favor de Transferências a Estados, Distrito Federal e Municípios, no valor de R$ 60.189.488.452,00, para o fim que especifica, e dá outras providências.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 977, de 4.6.2020 Publicada no DOU de 4.6.2020 - Edição extra";"Abre crédito extraordinário, em favor de Encargos Financeiros da União, no valor de R$ 20.000.000.000,00, para o fim que especifica, e dá outras providências.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 976, de 4.6.2020 Publicada no DOU de 4.6.2020 - Edição extra";"Abre crédito extraordinário, em favor do Ministério da Saúde, no valor de R$ 4.489.224.000,00, para o fim que especifica.";"Federal";"Medida"
"Brasil";"Resolução nº 6, de 2.6.2020Publicada no DOU de 3.6.2020";"Institui Grupo de Trabalho para a Consolidação das Estratégias de Governança e Gestão de Riscos do Governo federal em resposta aos impactos relacionados ao coronavírus, no âmbito do Comitê de Crise da covid-19.";"Federal";"Resolução"
"Brasil";"Medida Provisória nº 975, de 1º.6.2020Publicada no DOU de 2.6.2020";"Institui o Programa Emergencial de Acesso a Crédito e altera a Lei nº 12.087, de 11 de novembro de 2009, e a Lei nº 13.999, de 18 de maio de 2020.";"Federal";"Medida"
"Brasil";"Portaria nº 936, de 29.5.2020Publicada no DOU de 29.5.2020 - Edição extra";"Altera a Portaria RFB nº 543, de 20 de março de 2020, que suspende prazos para prática de atos processuais e os procedimentos administrativos que especifica, no âmbito da Secretaria Especial da Receita Federal do Brasil (RFB), como medida de proteção para enfrentamento da emergência de saúde pública decorrente do coronavírus (Covid-19).";"Federal";"Portaria"
"Brasil";"Lei Complementar nº 173, de 27.5.2020 Publicada no DOU de 28.5.2020";"Estabelece o Programa Federativo de Enfrentamento ao Coronavírus SARS-CoV-2 (Covid-19), altera a Lei Complementar nº 101, de 4 de maio de 2000, e dá outras providências. Mensagem de veto";"Federal";"Lei"
"Brasil";"Portaria nº 9, de 27.5.2020Publicada no DOU de 28.5.2020";"Revoga a Portaria Interministerial MJSP/MS nº 05, de 17 de março de 2020.";"Federal";"Portaria"
"Brasil";"Medida Provisória nº 970, de 25.5.2020 Publicada no DOU de 26.5.2020";"Abre crédito extraordinário, em favor dos Ministérios da Saúde e da Cidadania, no valor de R$ 29.058.260.654,00, para os fins que especifica e dá outras providências.";"Federal";"Medida"
"Brasil";"Portaria nº 255, de 22.5.2020Publicada no DOU de 22.5.2020 - Edição extra";"Dispõe sobre a restrição excepcional e temporária de entrada no País de estrangeiros, de qualquer nacionalidade, conforme recomendação da Agência Nacional de Vigilância Sanitária - Anvisa.";"Federal";"Portaria"
"Brasil";"Decreto nº 10.361, de 21.5.2020 Publicado no DOU de 22.5.2020";"Altera o Anexo ao Decreto nº 10.232, de 6 de fevereiro de 2020, que distribui o efetivo de Oficiais e Praças do Exército em tempo de paz para 2020.";"Federal";"Decreto"
"Brasil";"Decreto nº 10.360, de 21.5.2020 Publicado no DOU de 22.5.2020";"Dispõe sobre a forma de identificação das autorizações de despesas relacionadas ao enfrentamento de calamidade pública nacional decorrente de pandemia e de seus efeitos sociais e econômicos.";"Federal";"Decreto"
"Brasil";"Medida Provisória nº 969, de 20.5.2020 Publicada no DOU de 20.5.2020 - Edição extra";"Abre crédito extraordinário, em favor do Ministério da Saúde, no valor de R$ 10.000.000.000,00, para os fins que especifica, e dá outras providências.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 967, de 19.5.2020 Publicada no DOU de 19.5.2020 - Edição extra";"Abre crédito extraordinário, em favor do Ministério da Saúde, no valor de R$ 5.566.379.351,00, para os fins que especifica e dá outras providências.";"Federal";"Medida"
"Brasil";"Decreto nº 10.352, de 19.5.2020 Publicado no DOU de 19.5.2020 - Edição extra";"Reduz temporariamente a alíquota do Imposto sobre Produtos Industrializados incidente sobre o produto que menciona.";"Federal";"Decreto"
"Brasil";"Decreto nº 10.350, de 18.5.2020 Publicado no DOU de 18.5.2020 - Edição extra";"Dispõe sobre a criação da Conta destinada ao setor elétrico para enfrentamento do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020 e regulamenta a Medida Provisória nº 950, de 8 de abril de 2020, e dá outras providências.";"Federal";"Decreto"
"Brasil";"Lei nº 13.998, de 14.5.2020 Publicada no DOU de 15.5.2020";"Promove mudanc¸as no auxi´lio emergencial institui´do pela Lei nº 13.982, de 2 de abril de 2020; e da´ outras provide^ncias.";"Federal";"Lei"
"Brasil";"Medida Provisória nº 966, de 13.5.2020 Publicada no DOU de 14.5.2020";"Dispõe sobre a responsabilização de agentes públicos por ação e omissão em atos relacionados com a pandemia da covid-19.";"Federal";"Medida"
"Brasil";"Decreto nº 10.344, de 11.5.2020 Publicado no DOU de 11.5.2020 - Edição extra";"Altera o Decreto nº 10.282, de 20 de março de 2020, que regulamenta a Lei nº 13.979, de 6 de fevereiro de 2020, para definir os serviços públicos e as atividades essenciais.";"Federal";"Decreto"
"Brasil";"Decreto nº 10.342, de 7.5.2020 Publicado no DOU de 7.5.2020 - Edição extra";"Altera o Decreto nº 10.282, de 20 de março de 2020, que regulamenta a Lei nº 13.979, de 6 de fevereiro de 2020, para definir os serviços públicos e as atividades essenciais.";"Federal";"Decreto"
"Brasil";"Emenda Constitucional nº 106, de 7.5.2020Publicado no DOU de 8.5.2020";"Institui regime extraordinário fiscal, financeiro e de contratações para enfrentamento de calamidade pública nacional decorrente de pandemia.";"Federal";"Emenda"
"Brasil";"Medida Provisória nº 963, de 7.5.2020Publicado no DOU de 8.5.2020";"Abre crédito extraordinário, em favor de Operações Oficiais de Crédito, no valor de R$ 5.000.000.000,00, para o fim que especifica.";"Federal";"Medida"
"Brasil";"Medida Provisória nº 962, de 6.5.2020Publicado no DOU de 7.5.2020";"Abre crédito extraordinário, em favor dos Ministérios da Ciência, Tecnologia, Inovações e Comunicações e das Relações Exteriores, no valor de R$ 418.800.000,00, para os fins que especifica.";"Federal";"Medida"
