"Decretos";"Localidade";"Ementa";"Url";"Estado";"Tipo";"Tipo_Documento";"Cod_UF";"Nome_Mesorregião";"Codigo_Municipio"
"Decreto Nº 32532 de 24 de junho de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/epynh";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32523 de 23 de junho de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá outras providências.";"http://leismunicipa.is/odpby";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32512 de 20 de junho de 2020";"Salvador";"Decreta intervenção na Concessão do Contrato do Serviço de Transporte Coletivo de Passageiro por Ônibus (STCO) da Área C - Orla/Cento de Salvado, celebrado com a Concessionária CSN - Transportes Urbanos S/A, Sociedade de Propósito Específico inscrita no CNPJ sob nº 21.162.552/0001-60, com o fim de assegurar a adequação na prestação dos serviços e dá outras providências.";"http://leismunicipa.is/gjmyp";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32519 de 19 de junho de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/gjymp";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32520 de 19 de junho de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/ygjmp";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32504 de 17 de junho de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/yjapl";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32500 de 16 de junho de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá outras providências.";"http://leismunicipa.is/yjmpl";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32501 de 16 de junho de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/pclhy";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32498 de 15 de junho de 2020";"Salvador";"Define medidas para o funcionamento das agências bancárias e lotéricas, e dá outras providências.";"http://leismunicipa.is/kygep";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32499 de 15 de junho de 2020";"Salvador";"Prorroga medidas de prevenção e controle para enfrentamento do COVID-";"http://leismunicipa.is/kgyep";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
