Nome_Mesorregião;Codigo_Municipio;Localidade
Leste Rondoniense;1100015;Alta Floresta D'Oeste
Leste Rondoniense;1100379;Alto Alegre dos Parecis
Leste Rondoniense;1100403;Alto Paraíso
Leste Rondoniense;1100346;Alvorada D'Oeste
Leste Rondoniense;1100023;Ariquemes
Madeira-Guaporé;1100452;Buritis
Leste Rondoniense;1100031;Cabixi
Leste Rondoniense;1100601;Cacaulândia
Leste Rondoniense;1100049;Cacoal
Madeira-Guaporé;1100700;Campo Novo de Rondônia
Madeira-Guaporé;1100809;Candeias do Jamari
Leste Rondoniense;1100908;Castanheiras
Leste Rondoniense;1100056;Cerejeiras
Leste Rondoniense;1100924;Chupinguaia
Leste Rondoniense;1100064;Colorado do Oeste
Leste Rondoniense;1100072;Corumbiara
Madeira-Guaporé;1100080;Costa Marques
Madeira-Guaporé;1100940;Cujubim
Leste Rondoniense;1100098;Espigão D'Oeste
Leste Rondoniense;1101005;Governador Jorge Teixeira
Madeira-Guaporé;1100106;Guajará-Mirim
Madeira-Guaporé;1101104;Itapuã do Oeste
Leste Rondoniense;1100114;Jaru
Leste Rondoniense;1100122;Ji-Paraná
Leste Rondoniense;1100130;Machadinho D'Oeste
Leste Rondoniense;1101203;Ministro Andreazza
Leste Rondoniense;1101302;Mirante da Serra
Leste Rondoniense;1101401;Monte Negro
Leste Rondoniense;1100148;Nova Brasilândia D'Oeste
Madeira-Guaporé;1100338;Nova Mamoré
Leste Rondoniense;1101435;Nova União
Leste Rondoniense;1100502;Novo Horizonte do Oeste
Leste Rondoniense;1100155;Ouro Preto do Oeste
Leste Rondoniense;1101450;Parecis
Leste Rondoniense;1100189;Pimenta Bueno
Leste Rondoniense;1101468;Pimenteiras do Oeste
Madeira-Guaporé;1100205;Porto Velho
Leste Rondoniense;1100254;Presidente Médici
Leste Rondoniense;1101476;Primavera de Rondônia
Leste Rondoniense;1100262;Rio Crespo
Leste Rondoniense;1100288;Rolim de Moura
Leste Rondoniense;1100296;Santa Luzia D'Oeste
Leste Rondoniense;1101484;São Felipe D'Oeste
Madeira-Guaporé;1101492;São Francisco do Guaporé
Leste Rondoniense;1100320;São Miguel do Guaporé
Leste Rondoniense;1101500;Seringueiras
Leste Rondoniense;1101559;Teixeirópolis
Leste Rondoniense;1101609;Theobroma
Leste Rondoniense;1101708;Urupá
Leste Rondoniense;1101757;Vale do Anari
Leste Rondoniense;1101807;Vale do Paraíso
Leste Rondoniense;1100304;Vilhena
Vale do Acre;1200013;Acrelândia
Vale do Acre;1200054;Assis Brasil
Vale do Acre;1200104;Brasiléia
Vale do Acre;1200138;Bujari
Vale do Acre;1200179;Capixaba
Vale do Juruá;1200203;Cruzeiro do Sul
Vale do Acre;1200252;Epitaciolândia
Vale do Juruá;1200302;Feijó
Vale do Juruá;1200328;Jordão
Vale do Juruá;1200336;Mâncio Lima
Vale do Acre;1200344;Manoel Urbano
Vale do Juruá;1200351;Marechal Thaumaturgo
Vale do Acre;1200385;Plácido de Castro
Vale do Acre;1200807;Porto Acre
Vale do Juruá;1200393;Porto Walter
Vale do Acre;1200401;Rio Branco
Vale do Juruá;1200427;Rodrigues Alves
Vale do Acre;1200435;Santa Rosa do Purus
Vale do Acre;1200500;Sena Madureira
Vale do Acre;1200450;Senador Guiomard
Vale do Juruá;1200609;Tarauacá
Vale do Acre;1200708;Xapuri
Centro Amazonense;1300029;Alvarães
Sudoeste Amazonense;1300060;Amaturá
Centro Amazonense;1300086;Anamã
Centro Amazonense;1300102;Anori
Sul Amazonense;1300144;Apuí
Sudoeste Amazonense;1300201;Atalaia do Norte
Centro Amazonense;1300300;Autazes
Norte Amazonense;1300409;Barcelos
Centro Amazonense;1300508;Barreirinha
Sudoeste Amazonense;1300607;Benjamin Constant
Centro Amazonense;1300631;Beruri
Centro Amazonense;1300680;Boa Vista do Ramos
Sul Amazonense;1300706;Boca do Acre
Sul Amazonense;1300805;Borba
Centro Amazonense;1300839;Caapiranga
Sul Amazonense;1300904;Canutama
Sudoeste Amazonense;1301001;Carauari
Centro Amazonense;1301100;Careiro
Centro Amazonense;1301159;Careiro da Várzea
Centro Amazonense;1301209;Coari
Centro Amazonense;1301308;Codajás
Sudoeste Amazonense;1301407;Eirunepé
Sudoeste Amazonense;1301506;Envira
Sudoeste Amazonense;1301605;Fonte Boa
Sudoeste Amazonense;1301654;Guajará
Sul Amazonense;1301704;Humaitá
Sudoeste Amazonense;1301803;Ipixuna
Centro Amazonense;1301852;Iranduba
Centro Amazonense;1301902;Itacoatiara
Sudoeste Amazonense;1301951;Itamarati
Centro Amazonense;1302009;Itapiranga
Norte Amazonense;1302108;Japurá
Sudoeste Amazonense;1302207;Juruá
