CD_GEOCMU;CD_GEOCMU6DIG;NM_MUNICIP;NM_MUNICIP2;NRS;NM_RS;LONG;LAT;POP_MUN
2900108;290010;ABAÍRA;Abaíra;Centro-leste;Seabra;-41,742894;-13,296569;8739
2900207;290020;ABARÉ;Abaré;Norte;Paulo Afonso;-39,317693;-8,83354;20086
2900306;290030;ACAJUTIBA;Acajutiba;Nordeste;Alagoinhas;-38,000531;-11,663172;15159
2900355;290035;ADUSTINA;Adustina;Nordeste;Ribeira do Pombal;-38,037088;-10,562382;17040
2900405;290040;ÁGUA FRIA;Água Fria;Centro-leste;Serrinha;-38,71045;-11,823137;16970
2900504;290050;ÉRICO CARDOSO;Érico Cardoso;Sudoeste;Brumado;-42,067321;-13,400215;10610
2900603;290060;AIQUARA;Aiquara;Sul;Jequié;-39,880862;-14,091819;4446
2900702;290070;ALAGOINHAS;Alagoinhas;Nordeste;Alagoinhas;-38,402259;-12,113185;151596
2900801;290080;ALCOBAÇA;Alcobaça;Extremo sul;Teixeira de Freitas;-39,409063;-17,468989;22470
2900900;290090;ALMADINA;Almadina;Sul;Itabuna;-39,664093;-14,701273;5464
2901007;290100;AMARGOSA;Amargosa;Leste;Santo Antônio de Jesus;-39,626296;-13,040884;37241
2901106;290110;AMÉLIA RODRIGUES;Amélia Rodrigues;Centro-leste;Feira de Santana;-38,718124;-12,420497;25102
2901155;290115;AMÉRICA DOURADA;América Dourada;Centro-norte;Irecê;-41,522923;-11,406196;16094
2901205;290120;ANAGÉ;Anagé;Sudoeste;Vitória da Conquista;-40,970846;-14,590126;22005
2901304;290130;ANDARAÍ;Andaraí;Centro-leste;Itaberaba;-41,215092;-12,733629;13143
2901353;290135;ANDORINHA;Andorinha;Norte;Senhor do Bonfim;-39,871901;-10,280762;14595
2901403;290140;ANGICAL;Angical;Oeste;Barreiras;-44,647724;-11,996639;13977
2901502;290150;ANGUERA;Anguera;Centro-leste;Feira de Santana;-39,192832;-12,182974;11221
2901601;290160;ANTAS;Antas;Nordeste;Ribeira do Pombal;-38,294029;-10,406571;19291
2901700;290170;ANTÔNIO CARDOSO;Antônio Cardoso;Centro-leste;Feira de Santana;-39,147051;-12,379795;11683
2901809;290180;ANTÔNIO GONÇALVES;Antônio Gonçalves;Norte;Senhor do Bonfim;-40,362365;-10,601509;11798
2901908;290190;APORÁ;Aporá;Nordeste;Alagoinhas;-38,193803;-11,731565;17731
2901957;290195;APUAREMA;Apuarema;Sul;Jequié;-39,75157;-13,820034;7330
2902005;290200;ARACATU;Aracatu;Sudoeste;Brumado;-41,374548;-14,371226;13135
2902054;290205;ARAÇAS;Araças;Nordeste;Alagoinhas;-38,212521;-12,172959;12177
2902104;290210;ARACI;Araci;Centro-leste;Serrinha;-39,064595;-11,212404;54379
2902203;290220;ARAMARI;Aramari;Nordeste;Alagoinhas;-38,524985;-12,050722;11397
2902252;290225;ARATACA;Arataca;Sul;Ilhéus;-39,41218;-15,243275;11019
2902302;290230;ARATUÍPE;Aratuípe;Leste;Santo Antônio de Jesus;-39,069429;-13,08463;8825
2902401;290240;AURELINO LEAL;Aurelino Leal;Sul;Itabuna;-39,478263;-14,362134;11531
2902500;290250;BAIANÓPOLIS;Baianópolis;Oeste;Barreiras;-44,44023;-12,657125;13877
2902609;290260;BAIXA GRANDE;Baixa Grande;Centro-leste;Feira de Santana;-40,152775;-11,96475;20468
2902658;290265;BANZAÊ;Banzaê;Nordeste;Ribeira do Pombal;-38,654344;-10,616472;13229
2902708;290270;BARRA;Barra;Oeste;Ibotirama;-43,366169;-11,030863;53578
2902807;290280;BARRA DA ESTIVA;Barra da Estiva;Sudoeste;Brumado;-41,098092;-13,650485;20598
2902906;290290;BARRA DO CHOÇA;Barra do Choça;Sudoeste;Vitória da Conquista;-40,581198;-14,912901;31603
2903003;290300;BARRA DO MENDES;Barra do Mendes;Centro-norte;Irecê;-42,114404;-11,96709;13865
2903102;290310;BARRA DO ROCHA;Barra do Rocha;Sul;Jequié;-39,587949;-14,10248;5714
2903201;290320;BARREIRAS;Barreiras;Oeste;Barreiras;-45,525105;-12,0176;155439
2903235;290323;BARRO ALTO;Barro Alto;Centro-norte;Irecê;-41,836786;-11,847992;14931
2903276;290327;BARROCAS;Barrocas;Centro-leste;Serrinha;-39,09492;-11,538041;15978
2903300;290330;BARRO PRETO;Barro Preto;Sul;Itabuna;-39,444728;-14,775862;5591
2903409;290340;BELMONTE;Belmonte;Extremo sul;Porto Seguro;-39,177271;-15,935417;23328
2903508;290350;BELO CAMPO;Belo Campo;Sudoeste;Vitória da Conquista;-41,20384;-14,998514;17211
2903607;290360;BIRITINGA;Biritinga;Centro-leste;Serrinha;-38,792633;-11,585323;15979
2903706;290370;BOA NOVA;Boa Nova;Sul;Jequié;-40,230115;-14,360234;12633
2903805;290380;BOA VISTA DO TUPIM;Boa Vista do Tupim;Centro-leste;Itaberaba;-40,670227;-12,770168;18576
2903904;290390;BOM JESUS DA LAPA;Bom Jesus da Lapa;Oeste;Santa Maria da Vitória;-43,293387;-13,277147;69148
2903953;290395;BOM JESUS DA SERRA;Bom Jesus da Serra;Sudoeste;Vitória da Conquista;-40,577361;-14,389879;9880
2904001;290400;BONINAL;Boninal;Centro-leste;Seabra;-41,802498;-12,776673;14368
2904050;290405;BONITO;Bonito;Centro-leste;Itaberaba;-41,320414;-11,969278;16764
2904100;290410;BOQUIRA;Boquira;Sudoeste;Brumado;-42,722289;-12,74112;21508
2904209;290420;BOTUPORÃ;Botuporã;Sudoeste;Brumado;-42,534706;-13,32623;10211
2904308;290430;BREJÕES;Brejões;Sul;Jequié;-39,850783;-13,075374;14295
2904407;290440;BREJOLÂNDIA;Brejolândia;Oeste;Barreiras;-43,824764;-12,499374;10557
2904506;290450;BROTAS DE MACAÚBAS;Brotas de Macaúbas;Oeste;Ibotirama;-42,46516;-12,086689;10231
2904605;290460;BRUMADO;Brumado;Sudoeste;Brumado;-41,689077;-14,167943;67195
2904704;290470;BUERAREMA;Buerarema;Sul;Itabuna;-39,269578;-14,996443;18349
2904753;290475;BURITIRAMA;Buritirama;Oeste;Ibotirama;-43,66763;-10,588126;21174
2904803;290480;CAATIBA;Caatiba;Sudoeste;Itapetinga;-40,364107;-14,995802;6758
2904852;290485;CABACEIRAS DO PARAGUAÇU;Cabaceiras do Paraguaçu;Leste;Cruz das Almas;-39,192485;-12,564274;18807
2904902;290490;CACHOEIRA;Cachoeira;Leste;Cruz das Almas;-38,884757;-12,640864;33470
2905008;290500;CACULÉ;Caculé;Sudoeste;Guanambi;-42,28505;-14,48289;23170
2905107;290510;CAÉM;Caém;Centro-norte;Jacobina;-40,291104;-11,143067;9213
2905156;290515;CAETANOS;Caetanos;Sudoeste;Vitória da Conquista;-40,915807;-14,325683;14542
2905206;290520;CAETITÉ;Caetité;Sudoeste;Guanambi;-42,476638;-13,947968;50975
2905305;290530;CAFARNAUM;Cafarnaum;Centro-norte;Irecê;-41,501449;-11,733822;18437
2905404;290540;CAIRU;Cairu;Sul;Valença;-38,983431;-13,50687;18176
2905503;290550;CALDEIRÃO GRANDE;Caldeirão Grande;Centro-norte;Jacobina;-40,22183;-11,039859;13327
2905602;290560;CAMACAN;Camacan;Sul;Itabuna;-39,518677;-15,444373;31988
2905701;290570;CAMAÇARI;Camaçari;Leste;Camaçari;-38,206303;-12,666005;299132
2905800;290580;CAMAMU;Camamu;Sul;Valença;-39,164186;-14,012552;35316
2905909;290590;CAMPO ALEGRE DE LOURDES;Campo Alegre de Lourdes;Norte;Juazeiro;-43,174908;-9,551413;28798
2906006;290600;CAMPO FORMOSO;Campo Formoso;Norte;Senhor do Bonfim;-40,728936;-10,251063;71206
2906105;290610;CANÁPOLIS;Canápolis;Oeste;Santa Maria da Vitória;-44,20356;-13,096592;9711
2906204;290620;CANARANA;Canarana;Centro-norte;Irecê;-41,699629;-11,752949;26176
2906303;290630;CANAVIEIRAS;Canavieiras;Sul;Ilhéus;-39,108826;-15,651539;31099
2906402;290640;CANDEAL;Candeal;Centro-leste;Feira de Santana;-39,190758;-11,87112;8258
2906501;290650;CANDEIAS;Candeias;Leste;Salvador;-38,481201;-12,678372;87076
2906600;290660;CANDIBA;Candiba;Sudoeste;Guanambi;-42,83174;-14,404202;14319
2906709;290670;CÂNDIDO SALES;Cândido Sales;Sudoeste;Vitória da Conquista;-41,269495;-15,355082;25189
2906808;290680;CANSANÇÃO;Cansanção;Centro-leste;Serrinha;-39,47272;-10,726929;34834
2906824;290682;CANUDOS;Canudos;Norte;Juazeiro;-38,991703;-10,064129;16668
2906857;290685;CAPELA DO ALTO ALEGRE;Capela do Alto Alegre;Centro-leste;Feira de Santana;-39,824964;-11,672263;11637
2906873;290687;CAPIM GROSSO;Capim Grosso;Centro-norte;Jacobina;-39,9959;-11,306288;30662
2906899;290689;CARAÍBAS;Caraíbas;Sudoeste;Vitória da Conquista;-41,283716;-14,62557;8951
2906907;290690;CARAVELAS;Caravelas;Extremo sul;Teixeira de Freitas;-39,688811;-17,657525;22016
2907004;290700;CARDEAL DA SILVA;Cardeal da Silva;Nordeste;Alagoinhas;-37,938426;-12,043037;9295
2907103;290710;CARINHANHA;Carinhanha;Sudoeste;Guanambi;-43,848505;-14,020929;29018
2907202;290720;CASA NOVA;Casa Nova;Norte;Juazeiro;-41,336482;-9,240251;71969
2907301;290730;CASTRO ALVES;Castro Alves;Leste;Santo Antônio de Jesus;-39,363997;-12,731626;26264
2907400;290740;CATOLÂNDIA;Catolândia;Oeste;Barreiras;-44,697323;-12,273449;3577
2907509;290750;CATU;Catu;Nordeste;Alagoinhas;-38,4129;-12,330569;54704
2907558;290755;CATURAMA;Caturama;Sudoeste;Brumado;-42,319417;-13,233462;9329
2907608;290760;CENTRAL;Central;Centro-norte;Irecê;-42,112427;-11,151291;17266
2907707;290770;CHORROCHÓ;Chorrochó;Norte;Paulo Afonso;-39,18911;-9,271707;11177
2907806;290780;CÍCERO DANTAS;Cícero Dantas;Nordeste;Ribeira do Pombal;-38,452541;-10,51386;32515
2907905;290790;CIPÓ;Cipó;Nordeste;Ribeira do Pombal;-38,520942;-11,113238;17300
2908002;290800;COARACI;Coaraci;Sul;Itabuna;-39,593191;-14,631827;16993
2908101;290810;COCOS;Cocos;Oeste;Santa Maria da Vitória;-45,219945;-14,496929;18777
2908200;290820;CONCEIÇÃO DA FEIRA;Conceição da Feira;Leste;Cruz das Almas;-38,99976;-12,504863;22581
2908309;290830;CONCEIÇÃO DO ALMEIDA;Conceição do Almeida;Leste;Santo Antônio de Jesus;-39,245601;-12,859902;17247
2908408;290840;CONCEIÇÃO DO COITÉ;Conceição do Coité;Centro-leste;Serrinha;-39,24982;-11,524123;66612
2908507;290850;CONCEIÇÃO DO JACUÍPE;Conceição do Jacuípe;Centro-leste;Feira de Santana;-38,740052;-12,337865;33153
2908606;290860;CONDE;Conde;Leste;Camaçari;-37,677595;-11,827736;25837
2908705;290870;CONDEÚBA;Condeúba;Sudoeste;Vitória da Conquista;-42,051037;-14,92144;17247
2908804;290880;CONTENDAS DO SINCORÁ;Contendas do Sincorá;Sudoeste;Brumado;-41,093652;-13,838346;4066
2908903;290890;CORAÇÃO DE MARIA;Coração de Maria;Centro-leste;Feira de Santana;-38,783108;-12,210649;22605
2909000;290900;CORDEIROS;Cordeiros;Sudoeste;Vitória da Conquista;-41,908245;-15,040971;8614
2909109;290910;CORIBE;Coribe;Oeste;Santa Maria da Vitória;-44,376295;-13,814335;14194
2909208;290920;CORONEL JOÃO SÁ;Coronel João Sá;Nordeste;Ribeira do Pombal;-37,959383;-10,264456;15895
2909307;290930;CORRENTINA;Correntina;Oeste;Santa Maria da Vitória;-45,394992;-13,467029;32137
2909406;290940;COTEGIPE;Cotegipe;Oeste;Barreiras;-44,327996;-11,711115;13782
2909505;290950;CRAVOLÂNDIA;Cravolândia;Sul;Jequié;-39,784462;-13,424003;5349
2909604;290960;CRISÓPOLIS;Crisópolis;Nordeste;Alagoinhas;-38,172579;-11,518071;21103
2909703;290970;CRISTÓPOLIS;Cristópolis;Oeste;Barreiras;-44,258845;-12,193995;13910
2909802;290980;CRUZ DAS ALMAS;Cruz das Almas;Leste;Cruz das Almas;-39,117912;-12,683035;63239
2909901;290990;CURAÇÁ;Curaçá;Norte;Juazeiro;-39,650984;-9,220987;34700
2910008;291000;DÁRIO MEIRA;Dário Meira;Sul;Jequié;-39,988006;-14,404981;10710
2910057;291005;DIAS D'ÁVILA;Dias d'Ávila;Leste;Camaçari;-38,282656;-12,601455;81089
2910107;291010;DOM BASÍLIO;Dom Basílio;Sudoeste;Brumado;-41,712103;-13,856283;12199
2910206;291020;DOM MACEDO COSTA;Dom Macedo Costa;Leste;Santo Antônio de Jesus;-39,17396;-12,912355;4058
2910305;291030;ELÍSIO MEDRADO;Elísio Medrado;Leste;Santo Antônio de Jesus;-39,526335;-12,934872;8122
2910404;291040;ENCRUZILHADA;Encruzilhada;Sudoeste;Vitória da Conquista;-40,999912;-15,594912;17006
2910503;291050;ENTRE RIOS;Entre Rios;Nordeste;Alagoinhas;-38,048376;-12,063435;41780
2910602;291060;ESPLANADA;Esplanada;Nordeste;Alagoinhas;-37,88534;-11,931246;37237
2910701;291070;EUCLIDES DA CUNHA;Euclides da Cunha;Centro-leste;Serrinha;-38,915095;-10,466805;60585
2910727;291072;EUNÁPOLIS;Eunápolis;Extremo sul;Porto Seguro;-39,606119;-16,298752;113380
2910750;291075;FÁTIMA;Fátima;Nordeste;Ribeira do Pombal;-38,201348;-10,593623;17890
2910776;291077;FEIRA DA MATA;Feira da Mata;Sudoeste;Santa Maria da Vitória;-44,232219;-14,13174;5665
2910800;291080;FEIRA DE SANTANA;Feira de Santana;Centro-leste;Feira de Santana;-39,03399;-12,193076;614872
2910859;291085;FILADÉLFIA;Filadélfia;Norte;Senhor do Bonfim;-40,136915;-10,72321;16377
2910909;291090;FIRMINO ALVES;Firmino Alves;Sudoeste;Itapetinga;-39,911313;-14,93082;5617
2911006;291100;FLORESTA AZUL;Floresta Azul;Sul;Itabuna;-39,71747;-14,841852;10629
2911105;291110;FORMOSA DO RIO PRETO;Formosa do Rio Preto;Oeste;Barreiras;-45,755647;-11,016713;25591
2911204;291120;GANDU;Gandu;Sul;Valença;-39,482691;-13,788685;32403
2911253;291125;GAVIÃO;Gavião;Centro-leste;Feira de Santana;-39,75734;-11,508884;4463
2911303;291130;GENTIO DO OURO;Gentio do Ouro;Centro-norte;Irecê;-42,605208;-11,410248;11233
2911402;291140;GLÓRIA;Glória;Norte;Paulo Afonso;-38,444762;-9,229366;15221
2911501;291150;GONGOGI;Gongogi;Sul;Itabuna;-39,5819;-14,280589;7128
2911600;291160;GOVERNADOR MANGABEIRA;Governador Mangabeira;Leste;Cruz das Almas;-39,072351;-12,583363;20722
2911659;291165;GUAJERU;Guajeru;Sudoeste;Brumado;-41,986432;-14,558969;6937
2911709;291170;GUANAMBI;Guanambi;Sudoeste;Guanambi;-42,820036;-14,203957;84481
2911808;291180;GUARATINGA;Guaratinga;Extremo sul;Porto Seguro;-39,937689;-16,553191;20843
2911857;291185;HELIÓPOLIS;Heliópolis;Nordeste;Ribeira do Pombal;-38,314226;-10,746774;13031
2911907;291190;IAÇU;Iaçu;Centro-leste;Itaberaba;-40,113094;-12,813534;24305
2912004;291200;IBIASSUCÊ;Ibiassucê;Sudoeste;Guanambi;-42,305379;-14,291531;9224
2912103;291210;IBICARAÍ;Ibicaraí;Sul;Itabuna;-39,568453;-14,848768;21689
